result_id,year_season,round,circuit_name,country_race,date,constructor_name,constructor_points,constructor_rank,driver_name,driver_code,driver_points,driver_rank,grid,position,race_points,status
1,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,McLaren,14.0,1,Lewis Hamilton,HAM,10.0,1,1,1.0,10.0,Finished
2,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,BMW Sauber,8.0,3,Nick Heidfeld,HEI,8.0,2,5,2.0,8.0,Finished
3,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,Williams,9.0,2,Nico Rosberg,ROS,6.0,3,7,3.0,6.0,Finished
4,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,Renault,5.0,4,Fernando Alonso,ALO,5.0,4,11,4.0,5.0,Finished
5,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,McLaren,14.0,1,Heikki Kovalainen,KOV,4.0,5,3,5.0,4.0,Finished
6,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,Williams,9.0,2,Kazuki Nakajima,NAK,3.0,6,13,6.0,3.0,+1 Lap
7,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,Toro Rosso,2.0,5,SÃ©bastien Bourdais,BOU,2.0,7,17,7.0,2.0,Engine
8,2008,1,Albert Park Grand Prix Circuit,Australia,2008-03-16,Ferrari,1.0,6,Kimi RÃ¤ikkÃ¶nen,RAI,1.0,8,15,8.0,1.0,Engine
23,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Ferrari,11.0,3,Kimi RÃ¤ikkÃ¶nen,RAI,11.0,2,2,1.0,10.0,Finished
24,2008,2,Sepang International Circuit,Malaysia,2008-03-23,BMW Sauber,19.0,2,Robert Kubica,KUB,8.0,5,4,2.0,8.0,Finished
25,2008,2,Sepang International Circuit,Malaysia,2008-03-23,McLaren,24.0,1,Heikki Kovalainen,KOV,10.0,4,8,3.0,6.0,Finished
26,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Toyota,5.0,6,Jarno Trulli,TRU,5.0,8,3,4.0,5.0,Finished
27,2008,2,Sepang International Circuit,Malaysia,2008-03-23,McLaren,24.0,1,Lewis Hamilton,HAM,14.0,1,9,5.0,4.0,Finished
28,2008,2,Sepang International Circuit,Malaysia,2008-03-23,BMW Sauber,19.0,2,Nick Heidfeld,HEI,11.0,3,5,6.0,3.0,Finished
29,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Red Bull,2.0,7,Mark Webber,WEB,2.0,11,6,7.0,2.0,Finished
30,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Renault,6.0,5,Fernando Alonso,ALO,6.0,7,7,8.0,1.0,Finished
31,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Red Bull,2.0,7,David Coulthard,COU,0.0,12,12,9.0,0.0,Finished
32,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Honda,0.0,9,Jenson Button,BUT,0.0,13,11,10.0,0.0,Finished
33,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Renault,6.0,5,Nelson Piquet Jr.,PIQ,0.0,14,13,11.0,0.0,Finished
34,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Force India,0.0,10,Giancarlo Fisichella,FIS,0.0,15,17,12.0,0.0,+1 Lap
35,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Honda,0.0,9,Rubens Barrichello,BAR,0.0,16,14,13.0,0.0,+1 Lap
36,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Williams,9.0,4,Nico Rosberg,ROS,6.0,6,16,14.0,0.0,+1 Lap
37,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Super Aguri,0.0,11,Anthony Davidson,DAV,0.0,17,21,15.0,0.0,+1 Lap
38,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Super Aguri,0.0,11,Takuma Sato,SAT,0.0,18,19,16.0,0.0,+2 Laps
39,2008,2,Sepang International Circuit,Malaysia,2008-03-23,Williams,9.0,4,Kazuki Nakajima,NAK,3.0,9,22,17.0,0.0,+2 Laps
45,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Ferrari,29.0,2,Felipe Massa,MAS,10.0,6,2,1.0,10.0,Finished
46,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Ferrari,29.0,2,Kimi RÃ¤ikkÃ¶nen,RAI,19.0,1,4,2.0,8.0,Finished
47,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,BMW Sauber,30.0,1,Robert Kubica,KUB,14.0,4,1,3.0,6.0,Finished
48,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,BMW Sauber,30.0,1,Nick Heidfeld,HEI,16.0,2,6,4.0,5.0,Finished
49,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,McLaren,28.0,3,Heikki Kovalainen,KOV,14.0,5,5,5.0,4.0,Finished
50,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Toyota,8.0,5,Jarno Trulli,TRU,8.0,7,7,6.0,3.0,Finished
51,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Red Bull,4.0,7,Mark Webber,WEB,4.0,10,11,7.0,2.0,Finished
52,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Williams,10.0,4,Nico Rosberg,ROS,7.0,8,8,8.0,1.0,Finished
53,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Toyota,8.0,5,Timo Glock,GLO,0.0,14,13,9.0,0.0,Finished
54,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Renault,6.0,6,Fernando Alonso,ALO,6.0,9,10,10.0,0.0,Finished
55,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Honda,0.0,9,Rubens Barrichello,BAR,0.0,16,12,11.0,0.0,Finished
56,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Force India,0.0,10,Giancarlo Fisichella,FIS,0.0,18,18,12.0,0.0,+1 Lap
57,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,McLaren,28.0,3,Lewis Hamilton,HAM,14.0,3,3,13.0,0.0,+1 Lap
58,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Williams,10.0,4,Kazuki Nakajima,NAK,3.0,11,16,14.0,0.0,+1 Lap
59,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Toro Rosso,2.0,8,SÃ©bastien Bourdais,BOU,2.0,12,15,15.0,0.0,+1 Lap
60,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Super Aguri,0.0,11,Anthony Davidson,DAV,0.0,19,21,16.0,0.0,+1 Lap
61,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Super Aguri,0.0,11,Takuma Sato,SAT,0.0,20,22,17.0,0.0,+1 Lap
62,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Red Bull,4.0,7,David Coulthard,COU,0.0,13,17,18.0,0.0,+1 Lap
63,2008,3,Bahrain International Circuit,Bahrain,2008-04-06,Force India,0.0,10,Adrian Sutil,SUT,0.0,21,20,19.0,0.0,+2 Laps
67,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Ferrari,47.0,1,Kimi RÃ¤ikkÃ¶nen,RAI,29.0,1,1,1.0,10.0,Finished
68,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Ferrari,47.0,1,Felipe Massa,MAS,18.0,4,3,2.0,8.0,Finished
69,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,McLaren,34.0,3,Lewis Hamilton,HAM,20.0,2,5,3.0,6.0,Finished
70,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,BMW Sauber,35.0,2,Robert Kubica,KUB,19.0,3,4,4.0,5.0,Finished
71,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Red Bull,8.0,6,Mark Webber,WEB,8.0,8,7,5.0,4.0,Finished
72,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Honda,3.0,8,Jenson Button,BUT,3.0,12,13,6.0,3.0,Finished
73,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Williams,12.0,4,Kazuki Nakajima,NAK,5.0,11,12,7.0,2.0,Finished
74,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Toyota,9.0,5,Jarno Trulli,TRU,9.0,7,8,8.0,1.0,Finished
75,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,BMW Sauber,35.0,2,Nick Heidfeld,HEI,16.0,5,9,9.0,0.0,Finished
76,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Force India,0.0,10,Giancarlo Fisichella,FIS,0.0,16,19,10.0,0.0,+1 Lap
77,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Toyota,9.0,5,Timo Glock,GLO,0.0,14,14,11.0,0.0,+1 Lap
78,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Red Bull,8.0,6,David Coulthard,COU,0.0,15,17,12.0,0.0,+1 Lap
79,2008,4,Circuit de Barcelona-Catalunya,Spain,2008-04-27,Super Aguri,0.0,11,Takuma Sato,SAT,0.0,19,22,13.0,0.0,+1 Lap
89,2008,5,Istanbul Park,Turkey,2008-05-11,Ferrari,63.0,1,Felipe Massa,MAS,28.0,2,1,1.0,10.0,Finished
90,2008,5,Istanbul Park,Turkey,2008-05-11,McLaren,42.0,3,Lewis Hamilton,HAM,28.0,3,3,2.0,8.0,Finished
91,2008,5,Istanbul Park,Turkey,2008-05-11,Ferrari,63.0,1,Kimi RÃ¤ikkÃ¶nen,RAI,35.0,1,4,3.0,6.0,Finished
92,2008,5,Istanbul Park,Turkey,2008-05-11,BMW Sauber,44.0,2,Robert Kubica,KUB,24.0,4,5,4.0,5.0,Finished
93,2008,5,Istanbul Park,Turkey,2008-05-11,BMW Sauber,44.0,2,Nick Heidfeld,HEI,20.0,5,9,5.0,4.0,Finished
94,2008,5,Istanbul Park,Turkey,2008-05-11,Renault,9.0,7,Fernando Alonso,ALO,9.0,8,7,6.0,3.0,Finished
95,2008,5,Istanbul Park,Turkey,2008-05-11,Red Bull,10.0,5,Mark Webber,WEB,10.0,7,6,7.0,2.0,Finished
96,2008,5,Istanbul Park,Turkey,2008-05-11,Williams,13.0,4,Nico Rosberg,ROS,8.0,10,11,8.0,1.0,Finished
97,2008,5,Istanbul Park,Turkey,2008-05-11,Red Bull,10.0,5,David Coulthard,COU,0.0,14,10,9.0,0.0,Finished
98,2008,5,Istanbul Park,Turkey,2008-05-11,Toyota,9.0,6,Jarno Trulli,TRU,9.0,9,8,10.0,0.0,Finished
